NOM^EQUIP^POSICIO^ALTURA^GRUIX^EDAT
Adam Donachie^BAL^Base^198.81^76.95^22.99
Paul Bako^BAL^Base^198.81^91.91^34.69
Ramon Hernandez^BAL^Base^193.42^89.78^30.78
Kevin Millar^BAL^Pivot^193.42^89.78^35.43
Chris Gomez^BAL^Pivot^196.11^80.37^35.71
Brian Roberts^BAL^Aler^185.37^75.24^29.39
Miguel Tejada^BAL^Ala-pivot^185.37^89.35^30.77
Melvin Mora^BAL^Aler^190.75^85.5^35.07
Aubrey Huff^BAL^Aler^204.17^98.75^30.19
Adam Stern^BAL^Escorta^190.75^76.95^27.05
Jeff Fiorentino^BAL^Escorta^196.11^80.37^23.88
Freddie Bynum^BAL^Escorta^196.11^76.95^26.96
Nick Markakis^BAL^Escorta^198.81^79.09^23.29
Brandon Fahey^BAL^Escorta^198.81^68.4^26.11
Corey Patterson^BAL^Escorta^185.37^76.95^27.55
Jay Payton^BAL^Escorta^188.06^79.09^34.27
Jay Gibbons^BAL^Aler^193.42^84.22^30.0
Erik Bedard^BAL^Base^196.11^80.8^27.99
Hayden Penn^BAL^Base^201.5^79.09^22.38
Adam Loewen^BAL^Base^209.55^93.62^22.89
Daniel Cabrera^BAL^Base^212.24^98.33^25.76
Steve Trachsel^BAL^Base^204.17^87.64^36.33
Jaret Wright^BAL^Base^198.81^98.33^31.17
Kris Benson^BAL^Base^204.17^83.36^32.31
Scott Williamson^BAL^Pivot^193.42^76.95^31.03
John Parrish^BAL^Pivot^190.75^82.08^29.26
Danys Baez^BAL^Pivot^201.5^96.19^29.47
Chad Bradford^BAL^Pivot^206.86^86.78^32.46
Jamie Walker^BAL^Pivot^198.81^83.36^35.67
Brian Burres^BAL^Pivot^196.11^77.81^25.89
Kurt Birkins^BAL^Pivot^198.81^80.37^26.55
James Hoey^BAL^Pivot^209.55^85.5^24.17
Sendy Rleal^BAL^Pivot^196.11^76.95^26.69
Chris Ray^BAL^Pivot^201.5^85.5^25.13
Jeremy Guthrie^BAL^Pivot^196.11^85.5^27.9
A.J. Pierzynski^CWS^Base^201.5^104.74^30.17
Toby Hall^CWS^Base^201.5^102.6^31.36
Paul Konerko^CWS^Pivot^198.81^91.91^30.99
Tadahito Iguchi^CWS^Aler^185.37^79.09^32.24
Juan Uribe^CWS^Ala-pivot^190.75^74.81^27.61
Alex Cintron^CWS^Ala-pivot^198.81^85.07^28.2
Joe Crede^CWS^Aler^196.11^85.5^28.85
Josh Fields^CWS^Aler^196.11^91.91^24.21
Ryan Sweeney^CWS^Escorta^204.17^85.5^22.02
Brian N. Anderson^CWS^Escorta^198.81^87.64^24.97
Luis Terrero^CWS^Escorta^198.81^88.06^26.78
Pablo Ozuna^CWS^Escorta^188.06^79.52^32.51
Scott Podsednik^CWS^Escorta^193.42^80.37^30.95
Jermaine Dye^CWS^Escorta^206.86^94.05^33.09
Darin Erstad^CWS^Escorta^198.81^89.78^32.74
Rob Mackowiak^CWS^Escorta^188.06^83.36^30.69
Jim Thome^CWS^Aler^204.17^104.31^36.51
Jerry Owens^CWS^Aler^201.5^83.36^26.03
Charlie Haeger^CWS^Base^196.11^85.5^23.45
Heath Phillips^CWS^Base^201.5^85.5^24.94
Gavin Floyd^CWS^Base^204.17^90.63^24.09
Jose Contreras^CWS^Base^204.17^95.76^35.23
Jon Garland^CWS^Base^209.55^89.78^27.43
Javier Vazquez^CWS^Base^198.81^87.64^30.6
Mark Buehrle^CWS^Base^198.81^94.05^27.94
Mike MacDougal^CWS^Pivot^204.17^83.36^29.99
David Aardsma^CWS^Pivot^206.86^85.5^25.17
Andrew Sisco^CWS^Pivot^217.6^111.15^24.13
Matt Thornton^CWS^Pivot^209.55^97.47^30.46
Bobby Jenks^CWS^Pivot^201.5^115.42^25.96
Boone Logan^CWS^Pivot^206.86^85.5^22.55
Sean Tracey^CWS^Pivot^201.5^89.78^26.29
Nick Masset^CWS^Pivot^204.17^81.23^24.79
Jose Molina^ANA^Base^198.81^94.05^31.74
Jeff Mathis^ANA^Base^193.42^76.95^23.92
Mike Napoli^ANA^Base^193.42^87.64^25.33
Casey Kotchman^ANA^Pivot^201.5^89.78^24.02
Kendry Morales^ANA^Pivot^196.11^94.05^23.7
Shea Hillenbrand^ANA^Pivot^196.11^90.2^31.59
Robb Quinlan^ANA^Pivot^196.11^85.5^29.95
Howie Kendrick^ANA^Pivot^188.06^76.95^23.64
Orlando Cabrera^ANA^Ala-pivot^188.06^81.23^32.33
Erick Aybar^ANA^Ala-pivot^188.06^72.67^23.13
Dallas McPherson^ANA^Aler^204.17^98.33^26.6
Maicer Izturis^ANA^Aler^182.68^66.26^26.46
Reggie Willits^ANA^Escorta^190.75^79.09^25.75
Tommy Murphy^ANA^Escorta^193.42^79.09^27.51
Terry Evans^ANA^Escorta^201.5^85.5^25.11
Gary Matthews Jr.^ANA^Escorta^201.5^96.19^32.51
Garret Anderson^ANA^Escorta^201.5^96.19^34.67
Vladimir Guerrero^ANA^Escorta^201.5^94.05^31.06
Chone Figgins^ANA^Escorta^182.68^68.4^29.1
Juan Rivera^ANA^Escorta^198.81^87.64^28.66
John Lackey^ANA^Base^209.55^100.46^28.35
Bartolo Colon^ANA^Base^190.75^106.88^33.77
Kelvim Escobar^ANA^Base^196.11^89.78^30.89
